,text,n_tokens
0,"GridView - showSortableUseFilter    정렬 아이콘(showSortableImage=""true"")과 필터링 아이콘(useFilter=""true"")을 모두 헤더에 표시.     GridView    showSortableUseFilter_GridView",59
1,GridView - mergeFocusedCell() & mergeSplitFocusedCell()    포커스된 셀들을 병합하거나 해제하기.    GridView    mergeFocusedCell_mergeSplitFocusedCell_GridView,47
2,GridView - mergeCells & mergeByCol()    열 기준으로 동일한 값을 갖는 셀들을 병합.     GridView    mergeCells_mergeByCol_GridView,44
3,GridView - mergeCells & mergeByRow()    행 기준으로 동일한 값을 갖는 셀들을 병합.    GridView    mergeCells_mergeByRow_GridView,44
4,"GridView - mergeCells & mergeByColRec()    열 기준으로 동일한 값을 갖는 셀들을 병합한 후, 행 기준으로 동일한 값을 갖는 셀들을 다시 병합.     GridView    mergeCells_mergeByColRec_GridView",74
5,"GridView - mergeCells & mergeByRowRec()    행 기준으로 동일한 값을 갖는 셀들을 병합한 후, 열 기준으로 동일한 값을 갖는 셀들을 다시 병합.     GridView    mergeCells_mergeByRowRec_GridView",74
6,"GridView - mergeCells & mergeByRestricCol()    왼쪽 열이 병합된 경우, 왼쪽 열을 기준으로 컬럼의 셀들을 병합.     GridView    mergeCells_mergeByRestricCol_GridView",66
7,"GridView - mergeCells & mergeByRestricRow()    윗행이 병합된 경우, 아래 열의 셀들을 윗행을 기준으로 병합.    GridView    mergeCells_mergeByRestricRow_GridView",60
8,GridView - merge    GridView의 6가지 셀 병합 방식 소개    GridView    merge_GridView,28
9,GridView - mergeClear()    셀 병합 해제.     GridView    mergeClear_GridView,23
10,"GridView - mergeByFree() & unmergeByFree()    특정 영역을 지정한 후, 해당 영역에 포함된 셀을 병합하거나 병합을 해제.    GridView    mergeByFree_unmergeByFree_GridView",67
11,"gridView.column - inputType=""select"" & viewType    inputType=""spinner"" 컬럼의 셀에 화살표 아이콘을 표시.    GridView    inputType_spinner_viewType_gridView_column",53
12,GridView - advancedExcelUpload() & options.removeColumns    Excel 파일을 GridView로 업로드할 때 Excel 특정 컬럼을 제외하고 업로드.    GridView    advancedExcelUpload_removeColumns_GridView,52
13,GridView - fixedColumn & fixedRightColumn    좌우 스크롤링 시 고정할 좌측 및 우측 열의 개수를 지정.     GridView    fixedColumn_fixedRightColumn_GridView,56
14,WFrame - scope (2)    scope 속성 설명 (2)    WFrame    scope_WFrame_2,26
15,"config.xml - strictMode    최상단 메인 페이지를 WFrame으로 감싼 후, 메인 화면과 메인 화면에 포함된 WFrame 간의 객체 참조를 허용.     _config_xml    strictMode_config_xml",62
16,WFrame - scope (1)    scope 속성 설명 (1)    WFrame    scope_WFrame_1,26
17,"Studio - Page Template    공통적으로 사용되는 디자인을 미리 작성하여, 페이지 생성 시 썸네일 이미지 형태로 제공.
    Studio    page_template_Studio",52
18,$p - watermark()    화면 바탕에 워터마크를 출력.     $p    watermark_$p,28
19,AliasDataList - id & scope    WFrame 내부의 GridView와 부모 화면의 DataList를 바인딩.     DataCollection    id_scope_aliasDataList,39
20,"AutoComplete & SelectBox - wheelStop & preventWheelEvent    선택 목록에서만 스크롤링을 허용하거나, 혹은 브라우저 전체에서 스크롤링을 허용할지를 결정.      AutoComplete
SelectBox    wheelStop_preventWheelEvent_AutoComplete_SelectBox",86
21,Calendar - disableBeforeToday & disableAfterToday    현재 날짜 이전 혹은 이후의 날짜 선택을 방지.     Calendar    disableBeforeToday_disableAfterToday_Calendar,45
22,MapChart - dataMapPath & changeMapPath()    선택된 데이터를 사용하여 시각화된 지도 데이터를 생성.    MapChart    dataMapPath_chargeMapPath_MapChart,41
23,PageList - displaySearchBox    페이지 번호를 입력하여 해당 페이지로 바로 이동할 수 있는 페이지 번호 입력창을 표시.     PageList    displaySearchbox_PageList,43
24,SelectBox - preventWheelEvent    선택 목록 위에서 마우스 스크롤링 시 선택 목록이 스크롤되는 것을 방지. 대신 브라우저가 스크롤됨.     SelectBox    preventWheelEvent_SelectBox,71
25,"WidgetContainer - cols & unitHeightPixel & addWidgets()    위젯 생성 방법 및 위젯 이동, 최대화, 고정, 리사이징, 닫기 방법 소개.     WidgetContainer    cols_unitHeightPixel_addWidgets_WidgetContainer",64
26,"WidgetContainer - enableWidgetTitle() & enableWidgetMove() & enableWidgetResize()    위젯 타이틀 표시, 위젯 이동, 위젯 리사이징 방법 설명.     WidgetContainer    enableWidgetTitle_enableWidgetMove_enableWidgetResize_WidgetContainer",66
27,WindowContainer - nameLayerMove    네임 레이어 상의 윈도우 순서 변경.     WindowContainer    nameLayerMove_WindowContainer,35
28,"WindowContainer - createWindow() & fixWindow() & unfixWindow()    윈도우 생성, 윈도우 고정 및 고정 취소, 윈도우를 고정한 채로 생성.    WindowContainer    createWindow_fixWindow_unfixWindow_WindowContainer",66
29,"WindowContainer - closeType & useFixButton    전체 윈도우를 한번에 닫거나, 혹은 고정되거나 고정되어 있지 않은 윈도우만 한번에 닫기.     WindowContainer    closeType_useFixButton_WindowContainer",66
30,$p - openPopup() & options.fullscreen    팝업을 전체 화면에 표시.    $p    openPopup_fullscreen_$p_WebSquare_util,39
31,GridView - setFixedRow()    GridView 행들을 고정.    GridView    setFixedRow_GridView,24
32,GridView - setFixedRow() & mergeCellsFixedRows()    행 고정된 부분에서만 셀들을 병합.     GridView    setFixedRow_mergeCellsFixedRows_GridView,45
33,GridView - setFixedColumn() & setFixedRightColumn()    좌측 및 우측의 열들을 고정.     GridView    setFixedColumn_setFixedRightColumn_GridView,46
34,GridView - setFixedCol()  & setFixedRightCol() & mergeCellsFixedCols()    열 고정된 부분에서만 셀들을 병합.     GridView    setFixedCol_setFixedRightCol_mergeCellsFixedCols_GridView,56
35,GridView - advancedExcelUpload()    엑셀 파일을 그리드뷰로 업로드.    GridView    advancedExcelUpload_GridView,33
36,GridView - advancedExcelUpload() & options.headerExist    엑셀 파일의 헤더를 제외하고 그리드뷰로 업로드.     GridView    advancedExcelUpload_headerExist_GridView,50
37,GridView - advancedExcelUpload() & options.dateFormat    엑셀 파일을 그리드뷰로 업로드할 때 그리드뷰에 표시할 날짜 형식을 지정.    GridView    advancedExcelUpload_dateFormat_GridView,61
38,GridView - mergeCells & mergeCol    지정한 열의 셀들만 병합. (선택적 병합)    GridView    mergeCells_mergeCol_GridView,42
39,GridView - mergeCol()    셀 병합에서 제외할 컬럼을 지정. 지정한 컬럼의 셀들은 병합에서 제외됨.     GridView    mergeCol_GridView,57
40,GridView - getMerged()    지정한 셀의 합 상태를 확인.     GridView    getMerged()_GridView,30
41,WebSquare.util - multipleDataListDownload()    여러 개의 DataList를 엑셀 파일로 다운로드.    WebSquare.util    multipleDataListDownload_WebSquare_util,41
42,WebSquare.util - multipleExcelDownload()    여러 개의 GridView를 엑셀 파일로 다운로드.    WebSquare.util    multipleExcelDownload_WebSquare_util,38
43,"ScheduleCalendar - headerLeftBtn & headerRightBtn    좌측 상단에는 앞뒤 이동 버튼을 표시하고, 우측 상단에는 스케줄 단위(일, 주, 월) 버튼을 표시.?    ScheduleCalendar    headerLeftBtn_headerRightBtn_ScheduleCalendar",85
44,"CheckComboBox - navBtn    ""선택완료"" 및 ""선택해제"" 버튼을 표시.    CheckComboBox    navBtn_CheckComboBox",36
45,"$p - openPopup() & getParameter()    $p.openPopup() 함수를 통해 팝업을 생성할 때, dataObject를 통해 파라미터를 팝업에 전달하고, 전달받은 파라미터는 생성한 팝업창에서 $p.getParameger() 함수로 확인.     $p    getParameter_$p_openPopup_$p",94
46,"TabControl - addTab() & $p.getParamater()    addTab() 함수를 통해 탭을 생성할 때, dataObject를 통해 파라미터를 새로 생성하는 탭에 전달하고, 전달받은 파라미터는 새로 생성한 탭에서 $p.getParameger() 함수로 확인.     TabControl    getParameter_$p_addTab_TabControl",96
47,"WindowContainer - createWindow() & $p.getParamater()    createWindow() 함수를 통해 윈도우를을 생성할 때, dataObject를 통해 파라미터를 새로 생성하는 윈도우에 전달하고, 전달받은 파라미터는 새로 생성한 윈도우에서 $p.getParameger() 함수로 확인.     WindowContainer    getParameter_$p_createWindow_WindowContainer",104
48,"WFrame - setSrc() & $p.getParamater()    setSrc() 함수를 통해 WFrame 화면을 설정할 때, dataObject를 통해 파라미터를 새로 설정하는 화면에 전달하고, 전달받은 파라미터는 새로 설정한 화면에서 $p.getParameger() 함수로 확인.     WFrame    getParameter_$p_setSrc_WFrame",102
49,"gridView.column - useFilter & useFilterList (GridView)     컬럼에 필터링 기능을 적용하고, 필터링 아이콘을 클릭하면 필터 항목을 목록으로 표시.     GridView    useFilter_gridView_column_useFilterList_GridView",74
50,LinkedDataList - setCondition()    LinkedDataList의 필터링 혹은 정렬 조건을 설정.     DataCollection    setCondition_LinkedDataList,38
51,"LinkedDataList - getFilteredRowIndex()    필터링을 수행한 이후, 필터링된 데이터의 행 인덱스를 반환.     DataCollection    getFilteredRowIndex_LinkedDataList",49
52,InputBox - dataType & displayFormat    시간 및 날짜 입력 방식을 지정.     InputBox    dataType_displayFormat_InputBox,32
53,"InputBox - dataType=""number"" & displayFormat    소수점 숫자의 반올림 및 무조건 올림.     InputBox    dataType_number_displayFormat_InputBox",46
54,"InputBox - dataType=""text"" & displayFormatter    알파벳 소문자를 대문자로 변환.    InputBox    dataType_text_displayFormatter_InputBox",39
55,"Studio - Getting Started    웹스퀘어 스튜디오 시작 후, 웹스퀘어 프로젝트 및 페이지 생성.     Studio    getting_started_Studio",45
56,"Studio - Help & Perspective    F1 버튼을 눌러 도움말 확인 & Perspective 선택 및 복구.
    Studio    help_perspective_Studio",39
57,Studio - Static & Absolute Drawing Modes    그리기 모드 비교 (Absolute Vs. Static)    Studio    static_absolute_drawing_mode_Studio,32
58,Studio - Drawing Components    일반적인 컴포넌트 그리기 순서 이해하기.    Studio    drawing_components_Studio,35
59,Studio - Viewing on Browsers    기본 브라우저를 설정하고 기본 브라우저에서 페이지 확인하기.     Studio    viewing_on_browsers_Studio,45
60,Design - margin & padding    margin과 padding 비교.    디자인    margin_padding_Design,23
61,Design - Block-level Element Styling    Block-level 요소의 스타일링 팁.    디자인    block_styling_Design,34
62,Design - flow & overflow    float 및 overflow 설명.    디자인    float_overflow_Design,23
63,Studio - Searching components and properties    Studio에서 컴포넌트와 속성을 검색.     Studio    component_property_search_Studio,33
64,Design - Adding CSS    CSS를 적용하는 3가지 방법.     디자인    adding_CSS_Design,29
65,Studio - Adding events    웹스퀘어5 컴포넌트에 이벤트 추가. JS 코드를 작성하여 동작 추가.    Studio    adding_events_Studio,46
66,Studio - Adding snippets    스니핏 추가 방법.    Studio    adding_snippets_Studio,23
67,WFrame - page    웹스퀘어 페이지 설명.     WFrame    page_WFrame,23
68,"Selection Components    단일 선택 vs. 다중 선택    Autocomplete
Radio
SelectBox
Spinner
ChekBox
CheckComboBox
MultiSelect    AutoComplete_Radio_SelectBox_Spinner_CheckBox_CheckComboBox_MultiSelect",50
69,"AutoComplete_GridView - ItemSet & chooseOption & chooseOptionLabel    ItemSet을 통한 선택 항목 직접 입력하고 선택 안내 메시지 표시.    AutoComplete
SelectBox    ItemSet_chooseOption_chooseOptionLabel_AutoComplete_SelectBox",61
70,"CheckBox - Span Direction & Span Count & cols & rows    선택 항목을 직접 입력하고, 선택 항목을 표시하는 방법을 설정.     CheckBox    SpanDirection_SpanCount_cols_rows_CheckBox",52
71,"Radio - Span Direction & Span Count & cols & rows    선택 항목을 직접 입력하고, 선택 항목을 표시하는 방법을 설정.     Radio    SpanDirection_SpanCount_cols_rows_Radio",52
72,CheckComboBox - ItemSet    선택 항목을 직접 입력하여 설정.     CheckComboBox    ItemSet_CheckComboBox,27
73,"CheckComboBox - allOption & chooseOption & chooseOptionLabel    “전체 선택” 및 선택 안내 메시지 표시. 
    CheckComboBox    allOption_chooseOption_chooseOptionLabel_CheckComboBox",44
74,"DataList - Introduction    DataList 생성, 복사, 삭제.    DataCollection    introduction_DataList",22
75,Radio - BindItemSet & SpanDirection & SpanCount & cols & rows    DataList와 바인딩하여 선택 항목을 설정.    Radio    BindItemSet_SpanDirection_SpanCount_cols_rows_Radio,47
76,SelectBox - BindItemSet    DataList와 바인딩하여 선택 항목을 설정.    SelectBox    BindItemSet_SelectBox,31
77,AutoComplete - BindItemSet & allOption & chooseOption & chooseOptionLabel    DataList와 바인딩하여 선택 항목을 설정.    AutoComplete    BindItemSet_allOption_chooseOption_chooseOptionLabel_AutoComplete,49
78,"AutoComplete Vs. SelectBox    AutoComplete와 SelectBox 비교    AutoComplete
SelectBox    AutoComplete_SelectBox",26
79,CheckBox - BindItemSet    DataList와 바인딩하여 선택 항목을 설정.    CheckBox    BindItemSet_CheckBox,29
80,"CheckComboBox - BindItemSet & allOption & chooseOption & chooseOptionLabel    DataList와 바인딩하여 선택 항목을  설정하고, 속성을 통해 선택 안내 메시지 표시.    CheckComboBox    BindItemSet_allOption_chooseOption_chooseOptionLabel_CheckComboBox",68
81,"CheckComboBox - displayMode & delimiter    label, value, delimiter를 이용하여 선택 항목을 표시하는 방법을 설정. 
    CheckComboBox    displayMode_delimiter_CheckComboBox",43
82,"SelectBox - displayMode & delimiter    label, value, delimiter를 이용하여 선택 항목을 표시하는 방법을 설정. 
    SelectBox    displayMode_delimiter_SelectBox",43
83,"AutoComplete - displayMode & delimiter    label, value, delimiter를 이용하여 선택 항목을 표시하는 방법을 설정. 
    AutoComplete    displayMode_delimiter_AutoComplete",44
84,MultiSelect - BindItemSet    DataList와 바인딩하여 선택 항목을 설정.    MultiSelect    BindItemSet_MultiSelect,32
85,Studio - Dragging and dropping components    드래그-앤-드롭으로 컴포넌트를 이동하거나 리사이징.     Studio    drag_n_drop_Studio,48
86,"Studio - Gridlines & Ruler & Guides    눈금선, 눈금자, 안내선    Studio    gridlines_ruler_guides_Studio",40
87,"Studio - WebSquare Search    키워드를 사용하여 웹스퀘어 페이지 파일 검색.
    Studio    search_Studio",32
88,InputBox - setValue() & getValue()    동적으로 value를 설정하거나 현재 설정된 value를 반환.     InputBox    setValue_getValue_InputBox,36
89,"$p - executeSubmission() & DataList    Submission 생성, 실행, 확인하기.    $p    executeSubmission_$p_DataList",27
90,DataList - setJSON()    DataList에 JSON 데이터를 설정.     DataCollection    setJSON_DataList,23
91,"gridView.column - inputType=""checkbox"" & inputType=""select""    inputType=""checkbox"" 및 inputType=""select"" 설정 예시.    GridView    inputType_checkbox_select_gridView_column",42
92,"DataList - insertRow() & removeRows()    지정한 인덱스에 해당하는 행을 추가하거나, 지정한 인텍스의 행(들)을 삭제.     DataCollection    insertRow_removeRows_DataList",55
93,"GridView - rowNumVisible& rowStatusVisible    행 번호 및 행 상태(추가, 수정, 삭제)를 아이콘으로 표시.      GridView    rowNumVisible_rowStatusVisible_Gridview",49
94,"GridView - getCheckedXXX()    선택된 행들의 인덱스, 혹은 정보를 XML, 스트링, JSON 형식으로 반환. 
    GridView    getCheckedXXX_Gridview",47
95,Calendar - highlightSelectedWeek    선택한 날짜가 속한 주를 다른 색으로 표시.    Calendar    highlightSelectedWeek_Calendar,36
96,ScheduleCalendar - nextDayThreshold    스케줄의 마지막 날짜를 표시하는 기준을 설정.    ScheduleCalendar    nextDayThreshold_ScheduleCalendar,44
97,"WidgetContainer - exportWidgets() & removeWidgetsAll()    현재 생성된 모든 위젯을 반환하거나 삭제.  
    WidgetContainer    exportWidgets_removeWidgetsAll_WidgetContainer",40
98,DataList - getFilteredColData() & getColData()    해당하는 컬럼의 필터링된 데이터를 반환.     DataCollection    getFilteredColData_getColData_DataList,43
99,GridView - sortable & showSortableImage    GridView 전체 혹은 특정 컬럼에 정렬 기능 추가.     GridView    sortable_showSortableImage_GridView,39
100,GridView - useCtrlOnMultisort    Ctrl 키와 해당 컬럼을 더블 클릭하여 추가 정렬을 수행.     GridView    useCtrlOnMultisort_GridView,48
101,"DataList - setData() & setJSON() & setXML()    DataList에 1차원 배열, JSON, XML 데이터를 설정.     DataCollection    setData_setJSON_setXML_DataList",42
102,"WidgetContainer - addWidgets()    동적으로 위젯을 추가.
    WidgetContainer    addWidgets_WidgetContainer",25
103,WindowContainer - Move and resize widgets     WidgetContainer 내부의 위젯을 이동하고 리사이징.    WidgetContainer    move_resize_widgets_WidgetContainer,36
104,InputBox - validate() & displaymessage & invalidmessage& invalidMessageFunc    사용자가 InputBox에 입력한 데이터를 검증.     InputBox    validate_displaymessage_invalidMessage_invalidMessageFunc_InputBox,44
105,Radio - validate() & displaymessage & invalidmessage& invalidMessageFunc    사용자가 Radio에서 선택한 데이터를 검증.     Radio    validate_displaymessage_invalidMessage_invalidMessageFunc_Radio,41
106,InputCalendar - defaultDate & getDefaultDate() & setDefaultDate()    달력 아이콘 클릭 시 표시되는 날짜를 설정하거나 확인.     InputCalendar    defaultDate_getDefaultDate_setDefaultDate_InputCalendar,57
107,Secret - validate() & displaymessage & invalidmessage & invalidMessageFunc    사용자가 Secret에 입력한 데이터를 검증.     Secret    validate_displaymessage_invalidMessage_invalidMessageFunc_Secret,41
108,WindowContainer - createWindow()    WindowContainer 내에 윈도우를 생성.     WindowContainer    createWindow_WindowContainer,26
109,WindowContainer - stopMinimizeOnNameLayer    네임 레이어 클릭 시 화면을 최소화하지 않고 화면 크기를 유지.    WindowContainer    stopMinimizeOnNameLayer_WindowContainer,55
110,SelectBox - validate() & displaymessage & invalidmessage & invalidMessageFunc    사용자가 SelectBox에 입력한 데이터를 검증.     SelectBox    validate_displaymessage_invalidMessage_invalidMessageFunc_SelectBox,44
111,$p - executeSubmission() DataList & Radio & SelectBox    한 개의 Submission을 통해 두 개 이상의 DataList에 데이터를 로딩.     $p    executeSubmission_$p_DataList_Radio_SelectBox,50
112,$p - executeSubmission() & DataMap    여러 컴포넌트와 바인딩된 DataMap의 데이터를 로딩.     $p    executeSubmission_$p_DataMap,44
113,AutoComplete - validate() & mandatory    사용자가 AutoComplete에 입력한 데이터를 검증.     AutoComplete    validate_mandatory_AutoComplete,32
114,GridView - columnMove    GridView 상에서 헤더 드래깅을 통한 열 이동을 허용.    GridView    columnMove_GridView,39
115,CheckBox - tooltipDisplay & tooltipShowAlways & tooltipFormatter    CheckBox의 각 선택 항목에 label 값 혹은 사용자 지정값을 툴팁으로 표시.     CheckBox    tooltipDisplay_tooltipShowAlways_tooltipFormatter_CheckBox,54
116,Radio - tooltipDisplay & tooltipShowAlways & tooltipItemLabel & tooltipFormatter    Radio의 각 선택 항목에 label 값 혹은 사용자 지정값을 툴팁으로 표시.     Radio    tooltipDisplay_tooltipShowAlways_tooltipItemLabel_tooltipFormatter_Radio,61
117,WidgetContainer - preventMaximizeByTitle    사용자의 타이들 더블-클릭을 통한 위젯 최대화 방지.     WidgetContainer    preventMaximizeByTitle_WidgetContainer,50
118,GridView - columnMove & columnMoveWithFooter    헤더가 병합된 열을 푸터와 함께 이동.    GridView    columnMove_columnMoveWithFooter_GridView,47
119,WebSquare.util - multipleDataListDownload() & options.showProcess & options.processMsg    여러 DataList를 다운로드하는 동안 상태 메시지 표시.     WebSquare.util    multipleDataListDownload_showProcess_processMsg_WebSquare_util,58
120,InputCalendar - validate() & displaymessage & invalidMessageFunc    사용자가 InputCalendar에 입력한 날짜를 검증.     InputCalendar    validate_displaymessage_invalidMessageFunc_InputCalendar,42
121,GridView - tooltipDisplay & tooltipShowAlways    GridView의 body 그리고/혹은 header에 툴팁을 표시.     GridView    tooltipDisplay_tooltipShowAlways_GridView,41
122,"GridView - rowNumVisible& rowNumHeaderValue & rowNumWidth & rowNumBackgroundColor    GridView 각 행의 번호를 표시하는 컬럼의 헤더 값, 폭, 배경색을 지정.    GridView    rowNumVisible_rowNumHeaderValue_rowNumWidth_rowNumBackgroundColor_GridView",65
123,"GridView - rowStatusVisible & rowStatusHeaderValue & rowStatusWidth    GridView 각 행의 상태를 표시하는 컬럼의 헤더 값과 폭을 지정.
    GridView    rowStatusVisible_rowStatusHeaderValue_rowStatusWidth_GridView",59
124,GridView - sortable & sortEvent & showSortableImage & sortedIconPosition & sortOrderReverse    GridView 각 열에 정렬 기능을 추가.     GridView    sortable_sortEvent_showSortableImage_sortedIconPosition_sortOrderReverse_GridView,49
125,gridView.column - inputType & viewType    GridView 컬럼(gridView.column)의 inputType에 따라 해당 아이콘을 표시.     gridView.column    viewType_inputtype_gridView_column,46
126,GridView - editModeEvent & editModeEventIcon    셀 편집 모드 진입에 필요한 마우스 동작을 설정.    GridView    editModeEvent_editModeEventIcon_GridView,49
127,"GridView - keyMoveEditMode & moveKeyEditMode & moveKeyEditModeAll    셀 편집 모드 진입에 필요한 키를 지정. (Enter, Tab, 방향키)    GridView    keyMoveEditMode_moveKeyEditMode_moveKeyEditModeAll_GridView",65
128,GridView - focusFlow    포커스 이동 방향 설정.    GridView    focusFlow_GridView,25
129,GridView - focusMode & selectedCellColor& selectedRowColor    선택된 셀 및 해당 셀이 속한 행을 포커싱하는 방법을 결정.      GridView    focusMode_selectedCellColor_selectedRowColor_GridView,58
130,"DataList - getFiterList() & clearFilter() & setColumnFilter()    현재 적용된 필터를 저장 후, 저장한 필터를 다시 로딩.     DataCollection    getFiterList_clearFilter_setColumnFilter_DataList",56
131,"GridView - setRowVisible() & clearRowVisible()    특정 행(들)을 숨김 처리하고, 숨김 처리를 다시 해제.     GridView    setRowVisible_clearRowVisible_GridView",52
132,GridView - visibleRowNum    GridView 상에 표시할 행의 수를 지정.     GridView    visibleRowNum_GridView,29
133,WindowContainer - setArrangeWindows()    표시할 윈도우 및 표시 방법을 설정.     WindowContainer    setArrangeWindows_WindowContainer,36
134,"gridView.column - inputType=""custom"" & typeGetter    GridView 컬럼의 inputType을 동적으로 변경.     GridView    inputType_custom_typeGetter_gridView_column",39
135,GridView - oncellclick    사용자가 GridView의 셀을 클릭할 때 발생.     GridView    oncellclick_GridView,31
136,DataList - getAllJSON()    DataList의 전체 데이터를 rowStatus를 제외하고 JSON으로 반환.     DataCollection    getAllJSON_DataList,34
137,Studio SP4 - Palette View Upgrade    업데이트된 SP4 스튜디오의 Palette 뷰 설명.     Studio    Palette_Upgrade_SP4_Studio,40
138,Studio SP4 - Property View Upgrade    업데이트된 SP4 스튜디오의 Property 뷰 설명.    Studio    Property_Upgrade_SP4_Studio,40
139,Studio - Outline View    스튜디오의 Outline 뷰 설명.     Studio    Outline_Studio,25
140,Studio SP4 - Perspective View Upgrade    업데이트된 SP4 스튜디오의 Perspective 설명.    Studio    Perspective_Upgrade_SP4_Studio,37
141,InputCalendar - disableBeforeDate & disableAfterDate    특정 날짜 이전/이후의 날짜들을 비활성화    InputCalendar    disableBeforeDate_disableAfterDate_InputCalendar,49
142,Pivot - pivotExcelDownload & options.autoSizeColumn    헤더 혹은 바디의 텍스트 길이에 따라 해당 컬럼의 너비를 조절    Pivot    pivotExcelDownload_options_autoSizeColumn_Pivot,58
143,$p - executeSubmission() & events    Submission 생성/실행 및 관련 이벤트 정의.    $p    executeSubmission_$p,34
144,"TabControl - tabScroll & changeActiveTab    탭 스크롤 버튼을 표시하고, 버튼을 클릭하면  해당 탭을 활성화    TabControl    tabScroll_changeActiveTab_TabControl",54
145,GridView - dataDragSelect & useShiftKey    드래깅 혹은 Shift 키를 사용하여 여러 개의 셀을 선택하고 삭제    GridView    dataDragSelect_useShiftKey_GridView,47
146,"InputBox - maxLength    입력 가능한 텍스트 길이를 제한 (dataType=""euro"", ""rupee"" 혹은 ""tenge""인 경우에도 지원)    InputBox    maxLength_InputBox",48
147,AutoComplete - onselected    항목 선택 후 발생. onitemclick 이후 발생.     AutoComplete    onselected_AutoComplete,32
148,SelectBox - onselected    마우스 클릭 혹은 Enter 키를 통해 항목을 선택할 경우 발생    SelectBox    onselected_SelectBox,39
149,InputCalendar - dateValidSetCustom & setValueCancel()    유효하지 않은 값을 입력할 경우 invalidMessageFunc 함수를 실행하여 오류 메시지를 표시하고 setValueCancel() 함수를 실행하여 이전 유효한 값을 유지.     InputCalendar    dateValidSetCustom_setValueCancel_InputCalendar,73
150,Pivot - headerYMerge    헤더 컬럼 병합    Pivot    headerYMerge_Pivot,28
